arm,task,rep,seconds,claude_calls,input_tokens,lookups,claude_usd,jev_usd,usd,fell_back
Claude alone,late-gateway,0,11.31479425006546,4,5953,5,0.017116,0.0,0.017116,False
Jev fetches first,late-gateway,0,5.9492561251390725,1,513,7,0.002396,0.00011961600000000001,0.002515616,False
Claude alone,double-charge,0,8.506576374871656,3,4472,5,0.014054,0.0,0.014054,False
Jev fetches first,double-charge,0,5.4046104999724776,1,417,5,0.002054,9.546600000000001e-05,0.002149466,False
Claude alone,dead-switch,0,8.274264124920592,3,4307,4,0.012754,0.0,0.012754,False
Jev fetches first,dead-switch,0,6.168642249889672,1,406,5,0.002872,0.000124446,0.002996446,False
Claude alone,backorder,0,6.95160024985671,3,3876,3,0.010432,0.0,0.010432,False
Jev fetches first,backorder,0,5.037228625034913,1,235,3,0.00124,0.00010042200000000001,0.001340422,False
Claude alone,in-transit,0,9.299785249866545,2,2627,3,0.007904,0.0,0.007904,False
Jev fetches first,in-transit,0,3.4065203331410885,1,301,3,0.001742,7.161000000000001e-05,0.00181361,False
Claude alone,unpaid,0,8.85902512515895,3,4305,4,0.01354,0.0,0.01354,False
Jev fetches first,unpaid,0,7.493863167008385,1,310,4,0.00192,0.00015225000000000001,0.00207225,False
Claude alone,account-review,0,8.099719125078991,3,4314,4,0.012988,0.0,0.012988,False
Jev fetches first,account-review,0,5.95648695807904,1,459,6,0.003008,0.00011541600000000002,0.003123416,False
Claude alone,policy-only,0,4.328076000092551,2,2339,1,0.006328,0.0,0.006328,False
Jev fetches first,policy-only,0,3.1607704998459667,1,141,1,0.000812,4.0488e-05,0.000852488,False
Claude alone,late-gateway,1,12.020952084101737,4,6402,7,0.019144,0.0,0.019144,False
Jev fetches first,late-gateway,1,5.891598999965936,1,513,7,0.002376,0.00011961600000000001,0.002495616,False
Claude alone,double-charge,1,8.19392624986358,3,4305,4,0.01279,0.0,0.01279,False
Jev fetches first,double-charge,1,5.341053207870573,1,417,5,0.002104,9.546600000000001e-05,0.002199466,False
Claude alone,dead-switch,1,7.966430082917213,3,3995,3,0.01164,0.0,0.01164,False
Jev fetches first,dead-switch,1,6.513064667116851,1,406,5,0.002952,0.000124446,0.003076446,False
Claude alone,backorder,1,7.1669638329185545,3,3946,3,0.010732,0.0,0.010732,False
Jev fetches first,backorder,1,5.241344250040129,1,213,2,0.001326,0.00010361400000000001,0.0014296139999999998,False
Claude alone,in-transit,1,20.365493332967162,3,4038,3,0.010776,0.0,0.010776,False
Jev fetches first,in-transit,1,3.68089395808056,1,301,3,0.001662,7.161000000000001e-05,0.00173361,False
Claude alone,unpaid,1,8.497893790947273,3,3956,4,0.011802,0.0,0.011802,False
Jev fetches first,unpaid,1,7.370876207947731,1,310,4,0.00194,0.00015225000000000001,0.00209225,False
Claude alone,account-review,1,8.290822000009939,3,4288,4,0.013196,0.0,0.013196,False
Jev fetches first,account-review,1,5.325480792205781,1,390,5,0.00206,0.00011545800000000002,0.0021754580000000003,False
Claude alone,policy-only,1,3.9004530829843134,2,2305,1,0.00582,0.0,0.00582,False
Jev fetches first,policy-only,1,3.153345457976684,1,141,1,0.000792,4.0488e-05,0.0008324879999999999,False
Claude alone,late-gateway,2,11.729354749899358,4,6447,6,0.019044,0.0,0.019044,False
Jev fetches first,late-gateway,2,5.790193042019382,1,513,7,0.002506,0.00011961600000000001,0.002625616,False
Claude alone,double-charge,2,8.28369287517853,3,4295,4,0.01282,0.0,0.01282,False
Jev fetches first,double-charge,2,5.333478709217161,1,417,5,0.002144,9.546600000000001e-05,0.0022394660000000003,False
Claude alone,dead-switch,2,9.105380833148956,3,4395,4,0.01357,0.0,0.01357,False
Jev fetches first,dead-switch,2,6.033788542030379,1,406,5,0.003012,0.000124446,0.0031364459999999998,False
Claude alone,backorder,2,7.284587667090818,3,3938,3,0.010906,0.0,0.010906,False
Jev fetches first,backorder,2,5.174452375154942,1,235,3,0.00133,0.00010042200000000001,0.001430422,False
Claude alone,in-transit,2,12.334690624848008,2,2627,3,0.007794,0.0,0.007794,False
Jev fetches first,in-transit,2,3.433138665976003,1,301,3,0.001582,7.161000000000001e-05,0.00165361,False
Claude alone,unpaid,2,9.160711916862056,3,4141,4,0.013112,0.0,0.013112,False
Jev fetches first,unpaid,2,7.258865375071764,1,310,4,0.00206,0.00015225000000000001,0.0022122500000000002,False
Claude alone,account-review,2,8.741506667109206,3,4322,4,0.013354,0.0,0.013354,False
Jev fetches first,account-review,2,5.6238478750456125,1,390,5,0.00215,0.00011545800000000002,0.002265458,False
Claude alone,policy-only,2,4.38274662499316,2,2336,1,0.006212,0.0,0.006212,False
Jev fetches first,policy-only,2,3.2308422077912837,1,141,1,0.000842,4.0488e-05,0.000882488,False
